id,symbol,side,quantity,entry_price,fill_price,exit_price,entry_fee,exit_fee,net_pnl,net_pnl_pct,created_at,filled_at,closed_at
PAPER-20260716113249-0001,ATM/USDT,SELL,784.656,2.2946882,2.3320203839399998,2.3320203839399998,0.0,1.8298337863808245,25.66,1.42,2026-07-16T10:44:41.249291+00:00,2026-07-16T10:44:41.249291+00:00,2026-07-16T11:32:49.347526+00:00
PAPER-20260716113249-0002,ATM/USDT,SELL,784.656,2.2946882,2.370728977877,2.370728977877,0.0,1.8602067168650551,56.01,3.11,2026-07-16T10:44:41.249291+00:00,2026-07-16T10:44:41.249291+00:00,2026-07-16T11:32:49.347526+00:00
PAPER-20260716113249-0003,ATM/USDT,SELL,1046.208,2.2946882,2.409437561817,2.409437561817,0.0,2.5207728526734403,115.13,4.79,2026-07-16T10:44:41.249291+00:00,2026-07-16T10:44:41.249291+00:00,2026-07-16T11:32:49.347526+00:00
PAPER-20260716113250-0004,SUN/USDT,SELL,130434.78,0.018405519999999998,0.018196929283,0.018196929283,0.0,2.3735124677036623,-31.98,-1.33,2026-07-16T10:44:42.887938+00:00,2026-07-16T10:44:42.887938+00:00,2026-07-16T11:32:50.615129+00:00
PAPER-20260716160910-0003,SKY/USDT,SELL,29173.418999999998,0.06171851,0.0,0.0,0.0,0.0,-1802.34,-100.0,2026-07-16T13:21:22.977217+00:00,2026-07-16T13:21:22.977217+00:00,2026-07-16T16:09:10.425019+00:00
PAPER-20260716160910-0004,SKY/USDT,SELL,29173.418999999998,0.06171851,0.0,0.0,0.0,0.0,-1802.34,-100.0,2026-07-16T13:21:22.977217+00:00,2026-07-16T13:21:22.977217+00:00,2026-07-16T16:09:10.425019+00:00
PAPER-20260716160910-0005,SKY/USDT,SELL,38897.892,0.06171851,0.0,0.0,0.0,0.0,-2403.12,-100.0,2026-07-16T13:21:22.977217+00:00,2026-07-16T13:21:22.977217+00:00,2026-07-16T16:09:10.425019+00:00
PAPER-20260716160910-0006,SKY/USDT,SELL,7.275957614183426e-12,0.06171851,0.061699994447,0.061699994447,0.0,4.489265443917247e-16,-0.0,-0.23,2026-07-16T13:21:22.977217+00:00,2026-07-16T13:21:22.977217+00:00,2026-07-16T16:09:10.425019+00:00
PAPER-20260716160911-0007,SUSHI/USDT,SELL,4290.822,0.16785034000000001,0.0,0.0,0.0,0.0,-720.94,-100.0,2026-07-16T13:21:24.509410+00:00,2026-07-16T13:21:24.509410+00:00,2026-07-16T16:09:11.646714+00:00
PAPER-20260716160911-0008,SUSHI/USDT,SELL,4290.822,0.16785034000000001,0.0,0.0,0.0,0.0,-720.94,-100.0,2026-07-16T13:21:24.509410+00:00,2026-07-16T13:21:24.509410+00:00,2026-07-16T16:09:11.646714+00:00
PAPER-20260716160911-0009,SUSHI/USDT,SELL,5721.096,0.16785034000000001,0.0,0.0,0.0,0.0,-961.25,-100.0,2026-07-16T13:21:24.509410+00:00,2026-07-16T13:21:24.509410+00:00,2026-07-16T16:09:11.646714+00:00
PAPER-20260716160912-0010,ZEN/USDT,SELL,122.86296,4.2782831,0.0,0.0,0.0,0.0,-526.17,-100.0,2026-07-16T13:35:00.197538+00:00,2026-07-16T13:35:00.197538+00:00,2026-07-16T16:09:12.757129+00:00
PAPER-20260716160912-0011,ZEN/USDT,SELL,122.86296,4.2782831,0.0,0.0,0.0,0.0,-526.17,-100.0,2026-07-16T13:35:00.197538+00:00,2026-07-16T13:35:00.197538+00:00,2026-07-16T16:09:12.757129+00:00
PAPER-20260716160912-0012,ZEN/USDT,SELL,163.81728,4.2782831,0.0,0.0,0.0,0.0,-701.56,-100.0,2026-07-16T13:35:00.197538+00:00,2026-07-16T13:35:00.197538+00:00,2026-07-16T16:09:12.757129+00:00
PAPER-20260716160912-0013,ZEN/USDT,SELL,2.842170943040401e-14,4.2782831,4.2897127,4.2897127,0.0,1.2192096789931384e-16,0.0,0.07,2026-07-16T13:35:00.197538+00:00,2026-07-16T13:35:00.197538+00:00,2026-07-16T16:09:12.757129+00:00
