id,symbol,side,type,quantity,filled_quantity,entry_price,fill_price,slippage,entry_fee,exit_price,exit_fee,total_cost,total_proceeds,net_pnl,net_pnl_pct,status,created_at,filled_at,closed_at
PAPER-20260716141756-0005,TOWNS/USDT,BUY,MARKET,2870813.4,0.0,0.00209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:17:56.264887+00:00,,
PAPER-20260716141756-0006,MSFTB/USDT,BUY,MARKET,6.0816,0.0,394.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:17:56.265082+00:00,,
PAPER-20260716142450-0007,TOWNS/USDT,BUY,MARKET,2857142.86,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:24:50.675185+00:00,,
PAPER-20260716142450-0008,PROM/USDT,BUY,MARKET,1843.32,0.0,1.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:24:50.675401+00:00,,
PAPER-20260716143659-0009,TOWNS/USDT,BUY,MARKET,2884615.38,0.0,0.00208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:36:59.568691+00:00,,
PAPER-20260716143659-0010,PROM/USDT,BUY,MARKET,1837.67,0.0,1.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:36:59.569056+00:00,,
PAPER-20260716144318-0011,TOWNS/USDT,BUY,MARKET,2884615.38,0.0,0.00208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:43:18.101682+00:00,,
PAPER-20260716144318-0012,ALLO/USDT,BUY,MARKET,6082.11,0.0,0.3946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:43:18.102518+00:00,,
PAPER-20260716144927-0013,TOWNS/USDT,BUY,MARKET,2884615.38,0.0,0.00208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:49:27.152681+00:00,,
PAPER-20260716144927-0014,ALLO/USDT,BUY,MARKET,6109.98,0.0,0.3928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:49:27.153145+00:00,,
PAPER-20260716145531-0015,TOWNS/USDT,BUY,MARKET,2870813.4,0.0,0.00209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:55:31.362641+00:00,,
PAPER-20260716145531-0016,PROM/USDT,BUY,MARKET,1846.15,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T14:55:31.363246+00:00,,
PAPER-20260716150137-0017,TOWNS/USDT,BUY,MARKET,2857142.86,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:01:37.178256+00:00,,
PAPER-20260716150137-0018,SPK/USDT,BUY,MARKET,136557.61,0.0,0.017575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,2026-07-16T15:01:37.179176+00:00,,
